Date_Time,City,State,Shape,Duration,Summary,Posted
11/25/2020 6:00,Scipio,UT,Disk,5 min,Single Saucer flying over highway in Utah.,12/23/2020
11/25/2020 5:46,Seguin,TX,Other,9 minutes,I Always Look Up In Sky Since I Was Told About UFOs...I Was Sitting In My Backyard And Noticed The Odd Shaped Flying Craft..Usually I W,12/23/2020
11/25/2020 5:45,Brownwood,TX,,20 seconds,First seen directly above me. Lights only. A string of 12-15 lights. No sound. No â€œtrailâ€.  Moving smoothly and steadily to the ESE. Th,12/23/2020
11/25/2020 5:45,Brownwood,TX,,20 seconds,First seen directly above me. Lights only. A string of 12-15 lights. No sound. No â€œtrailâ€.  Moving smoothly and steadily to the ESE. Th,12/23/2020
11/25/2020 5:40,Los Banos,CA,Formation,30,Moving V shaped â€œstarâ€ formation,12/23/2020
11/25/2020 5:31,Southgate,CA,Circle,2 minutes,Witnessed a giant ship floating over southgate LA. It looked as if a piece of the sky was moving all at once with a bunch of small roun,12/23/2020
11/25/2020 5:30,lakehills,TX,Circle,45 sec,saw about 20 lights to form a circle flying above my house,12/23/2020
11/25/2020 5:30,Boneta,AZ,Formation,5 mins,"Large string of lights in formation traveling north to south, above above the mountain range ((Starlink satellites??))",12/23/2020
11/25/2020 5:15,San Bernardino,CA,Cigar,2 minutes,went out this morning to start the truck and i see a long glowing light in the sky with four lights within. i ran back inside to get my,12/23/2020
11/25/2020 5:15,Corona,CA,Formation,2 minutes,10 lights in perfect line formation flying silently at an unbelievable speed.,12/23/2020
11/25/2020 5:15,San Bernardino,CA,Cigar,2 minutes,went out this morning to start the truck and i see a long glowing light in the sky with four lights within. i ran back inside to get my,12/23/2020
11/25/2020 5:00,Palm Desert,CA,Rectangle,4 minutes,I was visiting family in california. arrived late on 11/24th. I was awakend to let my dog outside at 5am to potty. I was looking up at,12/23/2020
11/25/2020 5:00,Palmdale,CA,Cigar,1 minute,A bunch of white lights in a straight line tilted on a 20 or 30 degree angle,12/23/2020
11/25/2020 4:45,El paso,TX,Formation,90 secs,"I was traveling on the 375 freeway in El Paso, south bound when I saw the formation appearing to hover in the south east direction. The",12/23/2020
11/24/2020 21:30,Stuart,FL,Disk,2 min,95 North Before Exit 101 Stewart Florida,12/23/2020
11/24/2020 21:15,Orlando,FL,Changing,2 minutes,Orange pulsating light moving up from ground level. Appears to have come from SeaWorld or sea harbor road.Changed shape (I had a se,12/23/2020
11/24/2020 21:00,Orlando,FL,Oval,30 seconds,Saw an oval shaped craft emerged in fire.,12/23/2020
11/24/2020 21:00,Orlando,FL,Oval,30 seconds,Saw an oval shaped craft emerged in fire.,3/2/2021
11/24/2020 19:18,Fruit Cove,FL,Fireball,5-8 min,You could see the ripple of wind current around it. It glided reminded me of how a jelly fish acts when it swimming threw water. It was,12/23/2020
11/24/2020 18:42,Rigby,ID,Unknown,45 seconds,"7 distinct bright objects were spotted in the northeast sky, one by one, they disappeared instantaneously.",12/23/2020
11/24/2020 15:30,Port St. Lucie,FL,Sphere,4 hrs,Light transparent with rings through the center.,12/23/2020
11/24/2020 15:30,Port St. Lucie,FL,Sphere,4 hrs,Light transparent with rings through the center.,12/23/2020
11/24/2020 6:07,Furlong,PA,,,MADAR Node 38,12/23/2020
11/24/2020 5:50,Gibson,LA,Cigar,1 minute,The object was approximately 1/8 of a mile long and had a line of non blinking lights. The object was filmed the entire duration of the,12/23/2020
11/24/2020 5:20,Tampa,FL,Triangle,10 seconds,"Triangle shape object with three lights traveling west, no sound over south Tampa",12/23/2020
11/24/2020 5:00,Grand Ledge,MI,Chevron,5 seconds,"v shaped object over Grand Ledge, MI",12/23/2020
11/24/2020 4:45,baton rouge,LA,Other,15min,Long skinny no height crystal glass diamond pattern as long as aircraft carrier ufo floating nosound or lights,12/23/2020
11/24/2020 4:30,Apache Junction,AZ,Disk,2 seconds,White glowing disc flying west to east.,12/23/2020
11/24/2020 1:45,Carmel,NY,Circle,10 minutes,A flashing circle came back in the sky going back and forth flashing different colors while turning on and off.,12/23/2020
11/24/2020 0:47,Carmel,NY,Circle,4 minutes,"Bright light flashing multiple colors hovered for about 4 minutes, it did a circle and then took off at an unreal speed.",12/23/2020
11/24/2020 0:05,Elwood,IN,Sphere,20 minutes,3 disks gathered in the midnight sky,12/23/2020
11/23/2020 23:30,Buffalo,MN,Formation,2 minutes,Bright lights were seen over central wright county,12/23/2020
11/23/2020 23:30,Buffalo,MN,Formation,2 minutes,Bright lights were seen over central wright county,12/23/2020
11/23/2020 23:30,Buffalo,MN,Formation,2 minutes,Bright lights were seen over central wright county,12/23/2020
11/23/2020 22:00,Puyallup,WA,Disk,1 hour,A photo of a black and white object in my grandmother's photo album circa early 40's with family dog.,12/23/2020
11/23/2020 22:00,St. Augustine,FL,Other,5 seconds,big plus sign object slowly moving then disappeared. Reflecting light on the edges and see through/black. not bright,12/23/2020
11/23/2020 19:15,Stillwater,OK,Circle,4 minutes,5 White Circles Moving in random formation.,12/23/2020
11/23/2020 18:20,Willinton,CT,Unknown,1 minute,Orange pinkish object flying straight up into sky,12/23/2020
11/23/2020 18:12,Sauk Rapids,MN,Light,15 seconds,Bright light moved across the Northern sky and suddenly dissappeared,12/23/2020
11/23/2020 17:00,Norwich,,Cigar,10 seconfs,At 17:00 North in the sky over Norwich UK i witnessed 2 extremely bright orb lights White in colour which looked like they were joined,12/23/2020
11/23/2020 16:00,Salem,MA,Light,3-5 mins,Three orbs spotted over Salem Ma,12/23/2020
11/23/2020 7:12,Moodus,CT,Cross,15 seconds,"Metal vertical flying, cross-shaped object with spoon-shaped glowing red top. Emitted no sounds as it flew by fairly close.",12/23/2020
11/23/2020 4:50,Near Big Lake,TX,Cigar,2 mins,"Stopped at intersection on 190 and 137. My son and I saw the craft over head. Approximately 500 feet long. Flying low, craft had no win",12/23/2020
11/23/2020 1:30,Douglasville,GA,Light,40 minutes,The light was so bright that it literally went into our bedroom at night and made it difficult to sleep. We could see the light through,12/23/2020
11/22/2020 22:25,Brampton,ON,Flash,Seconds,Large flashes in the sky. The flashes illuminated the lower half of the horizon that went from red--blue/green--red in the matter of se,12/23/2020
11/22/2020 20:00,Midland,MI,Fireball,2 Minutes,Orange plasma orbs; Midland Mi -2 minute sighting West of MBS airspace,12/23/2020
11/22/2020 11:09,Edmonds,WA,,,MADAR Node 61,12/23/2020
11/22/2020 9:46,Jonesboro,AR,,,MADAR Node 143,12/23/2020
11/22/2020 6:47,LAS VEGAS,NV,Changing,10 MINUTES,I personally witnessed and took 15 crystal clear photos of a Green Glowing Spaceship and a Robot-Alien-Angel = Being ?,12/23/2020
11/22/2020 4:44,Grand Junction,CO,,,MADAR Node 75,12/23/2020
11/21/2020 0:00,Royal palm beach,FL,Fireball,3 min,This was a giant big bright ball that hurt my eyes to look at. I took a picture. It got lower and cars on the road noticed it and took,12/23/2020
11/21/2020 23:00,Seiper,LA,Formation,1 hour?,"Extremely vivid flashing lights. Seemed to chase us, they would flash in succession, some would be brighter but whatever it was could m",12/23/2020
11/21/2020 21:30,Forney,TX,Circle,1 hr,Stars don't move,12/23/2020
11/21/2020 21:00,Fredericton,NB,Formation,15 minutes,Red lights over Fredericton. Changed from Octagon to Zigzag formation over 10-15 minutes.,12/23/2020
11/21/2020 21:00,Portland,OR,Rectangle,30 seconds,It was a clear night sky. I was looking east when 3 black objects flew by in formation from North to South. They looked large and they,12/23/2020
11/21/2020 19:37,San Marcos,TX,Light,90 Seconds,"About 12 colored lights floating in a group overhead, some purple, green, and yellow/white just within the cloud line",1/19/2021
11/21/2020 18:22,MOORESVILLE,NC,Circle,2 seconds,Lighted circle looped around in Northeast sky on camera,12/23/2020
11/21/2020 17:58,Oak hill,NC,Light,30 sec,Dim moving light that increased in brightness for a short period and then moved out of sight.,12/23/2020
11/21/2020 17:43,Eastvale,CA,Oval,10 min,Black Orb,12/23/2020
11/21/2020 16:40,COLUMBIA,SC,Cylinder,30 minutes,"Noticed a bright light at high altitude >10,000 ft. Observed for a few minutes and noticed objects depending at high rate if speed. As",12/23/2020
11/21/2020 12:00,Canton,TX,Sphere,3 mins,Reflective Sphere in the sky,12/23/2020
11/21/2020 9:40,Huntsville,TX,Disk,10 seconds,Saw hovering disc above Dennyâ€™s that vanished.,12/23/2020
11/21/2020 7:00,Harrogate,TN,Cylinder,3.5 min,"Metallic cylindrical ufo seen over Harrogate TN,  flying toward VA.",12/23/2020
11/21/2020 6:50,Mooresville,NC,Circle,5 seconds,Spider went over front door cam and we heard and saw a UFO on camera.,1/19/2021
11/21/2020 4:30,Miladore,WI,Cigar,2 minutes,Bright light hovering in sky behind a dark long object. Object took off so fast it disappeared within 10 inches of sky.,12/23/2020
11/21/2020 3:19,Barnstable,MA,Disk,5 minutes,"At about 3:19 in the afternoon, 2 friends and myself were watching a sunset with heavy cloud cover when we all witnessed an object reve",12/23/2020
11/20/2020 23:00,Bliss,NY,Diamond,5 min,We were in Bliss New York on November 20th.We were at hunting camp standing outside on the deck having a cigarette. My friend was tryin,12/23/2020
11/20/2020 23:00,Bliss,NY,Diamond,5 min,We were at our hunting camp Bliss New York there were 4 of us.  We were standing on the porch looking at the stars. My friend was showi,12/23/2020
11/20/2020 22:00,KENOSHA,WI,Sphere,30seconds,"Super bright round object ,smooth rapid turn then gone.",12/23/2020
11/20/2020 21:45,Kingsville,MO,Circle,15 minutes,Kingsville shell gas station. Seen 5 lights going in a circle that would appear and disappear,12/23/2020
11/20/2020 19:30,Kingston,ON,Light,Five minutes,D/m/y 20/11/20 light tracking a distance behind airplane from above Kingston out over lake Ontario,12/23/2020
11/20/2020 18:25,Center Conway,NH,Light,35 seconds,"LIGHT/OBJECT CHANGING DIRECTION THREE TIMES QUICKLY, AND CHANGING COLOR.",12/23/2020
11/20/2020 17:30,Kintnersville,PA,Circle,5 Minutes,Large Circular Object not moving with white lights seen on 412 Durham Road Kintnersville PA,12/23/2020
11/20/2020 17:17,Hopewell Junction,NY,Other,2 minutes,Light spheres and an extremely fast moving Christmas tree/centipede shaped object,3/2/2021
11/20/2020 9:04,Rancho Palos Verdes,CA,Sphere,1 minute,I have a video but don't know where to attach it.,12/23/2020
11/20/2020 6:30,"Colorado Springs, Colorado",CO,Circle,6.5 hours,It was moving then at the end I tried to track it but it left too fast,12/23/2020
11/20/2020 5:00,Fremont,WI,Light,3 minutes,Three bright lights traveling fast,12/23/2020
11/20/2020 3:30,Naperville,IL,Light,3 minutes,Stationary light fades from view,12/23/2020
11/20/2020 0:19,Anaheim,CA,Fireball,Less than 10 seconds,I am a security guard on duty overnight and tonight I was on duty sitting in my patrol car with my seat slightly reclined and my phone,12/23/2020
11/19/2020 23:00,Perkasie,PA,Circle,~30 minutes,"Blinking white and red circular light. Floating, is not satellite and barely moves",12/23/2020
11/19/2020 22:20,Fremont,OH,Fireball,1,My dogs ran away and i was hollering  with my flashlights. I saw a helicopter fly by and then the helicopter circled over twice so I st,12/23/2020
11/19/2020 22:20,Fremont,OH,Fireball,1,My dogs ran away and i was hollering  with my flashlights. I saw a helicopter fly by and then the helicopter circled over twice so I st,12/23/2020
11/19/2020 22:20,Fremont,OH,Fireball,1,My dogs ran away and i was hollering  with my flashlights. I saw a helicopter fly by and then the helicopter circled over twice so I st,12/23/2020
11/19/2020 22:15,Fort Collins,CO,Triangle,10 seconds,"I just happen to look up, and this thing I saw 3 weeks earlier appeared over the moon roof of our car, this time my fiancee also seen i",12/23/2020
11/19/2020 22:00,King,NC,Triangle,1 hour,"Triangular shaped objects that put off no sound, with blinking red and white lights underneath flying overhead",12/23/2020
11/19/2020 21:04,Roseville,CA,Chevron,:15,Very swiftly moving silent formation of seven chevron objects moving in north northwest direction.,12/23/2020
11/19/2020 21:00,Shreveport,LA,Oval,4 min,1 low flying craft at slow speed. Disappeared around 250 yds from me.  Orange orb.  Grabbed binoculars and craft was covered in an oran,12/23/2020
11/19/2020 19:30,New Wilmington,PA,Circle,3 minutes,Something in the sky we hadn't seen before,12/23/2020
11/19/2020 19:10,Havelock,NC,Circle,2 mins,"Fighter Pilot Reports â€œPodâ€ at 23,000 Feet",12/23/2020
11/19/2020 19:03,North Salt Lake,UT,Circle,1 second,The object was bright green and circular. Moved from the eastern skyline to the west. Moved swiftly faster than an airplane or a drone.,12/23/2020
11/19/2020 17:00,Arlington,VT,Light,3 seconds,Bright light dropping vertically from sky then disappearing.,12/23/2020
11/19/2020 17:00,Arlington,VT,Light,3 seconds,Bright light dropping vertically from sky then disappearing.,12/23/2020
11/19/2020 6:57,West Chazy,NY,,,MADAR Node 65,12/23/2020
11/19/2020 6:15,Vienna,GA,Light,In a feild,"Ok I was walking with my dog and my cousin witch was on a horse and we would meet up in this feild because she loved my dog, and we mee",12/23/2020
11/19/2020 6:12,Parkesburg,PA,Light,2 seconds,The whole thing lasted 2 seconds and made a letter U in the sky as it disappeared like it was turning around to point back to sky.,12/23/2020
11/19/2020 4:50,Golden Beach,FL,Circle,50min,Large Round shape Bright color,12/23/2020
11/19/2020 4:22,Boise,ID,,,MADAR Node 111,12/23/2020
11/19/2020 3:11,Spokane,WA,,,MADAR Node 37,12/23/2020
11/19/2020 2:00,Mojave,CA,Flash,a few seconds,The following observation occurred in rural Kern County California just East of Sierra Highway and North of Backus Road on   November 1,3/2/2021
11/19/2020 1:20,Seguin,,,10 minutes,Small bright ballon with unexplained movements.,12/23/2020
11/18/2020 23:15,Duchesne,UT,Light,2 minutes,Orange light making strange turns.,12/23/2020
11/18/2020 21:30,Shreveport,LA,Oval,3 secs,"Looking at the moon, Saturn, and Jupiter with my binoculars a craft moving extremely fast zoomed past my line of sight amd disappeared",12/23/2020
11/18/2020 21:15,Appleton area,WI,Disk,1 hr,"On night drive with kids, joked about object hovering in sky blinking red and white for nearly an hour when we suddenly came within may",12/23/2020
11/18/2020 19:00,Polk City,FL,Light,3-4 minutes,Very bright object flying approximately at an altitude of a commercial airliner with no strobe lights and the brightness continued as i,12/23/2020
11/18/2020 19:00,Mercersburg,PA,Unknown,4hours,Over course of a few weeks I've seen strange lights in the sky on certain nights. Always around the same time. The object(s) fly in the,12/23/2020
11/18/2020 19:00,Polk City,FL,Light,3-4 minutes,Very bright object flying approximately at an altitude of a commercial airliner with no strobe lights and the brightness continued as i,12/23/2020
11/18/2020 18:55,Bartlesville,OK,Oval,2 minutes,"I was outside  taking pictures of the moon. I turned my head away from the moon, glancing another direction. As I did so, I saw a rathe",12/23/2020
11/18/2020 18:40,Charlotte,NC,Formation,Few seconds,Formation of bright lights,12/23/2020
11/18/2020 18:13,,FL,Light,5 minutes,Bright-white star-like orb,12/23/2020
11/18/2020 18:00,Brighton,CO,Formation,30+ minutes,Crafts in formation for 30+ minutes.,12/23/2020
11/18/2020 18:00,Brighton,CO,Formation,30+ minutes,Crafts in formation for 30+ minutes.,12/23/2020
11/18/2020 17:37,BULLHEAD CITY,AZ,Disk,11 minutes,10 objects seen in picture of plane.,12/23/2020
11/18/2020 17:04,Fremont,CA,Circle,1 min,Strange small bright white orbs and other small slightly faded colored oblong shaped objects  seen in the evening sky,12/23/2020
11/18/2020 14:45,New York,NY,Formation,5 minutes,V-Shaped formation of silver orbs flying over NYC,12/23/2020
11/18/2020 14:08,Belfair,WA,Fireball,15 seconds.,Large orange/red orb moving diagonally and down in the daytime.,1/19/2021
11/18/2020 10:10,Sheboygan,WI,Light,10 min,"Blinking lights at close range just over tree line blue and yellow, then craft paused in air for 3 min or more emitting an orange light",12/23/2020
11/18/2020 7:27,Phoenix,AZ,Light,2 minutes,While driving saw a bright red flash. A light appeared to be moving with our vehicle. We couldnâ€™t identify it. After we arrived at home,12/23/2020
11/17/2020 20:00,Boscobel,WI,Triangle,5 to 10 minutes,It was a rounded triangular shape with 3 bright white lights on each corner. In the center was red light that changed to blue. The colo,12/23/2020
11/17/2020 19:01,Virginia Beach,VA,Circle,A few minutes,"Glowing sphere, silently climbs to great height at a constant speed and in a straight line",12/23/2020
11/17/2020 18:05,San Diego,CA,Disk,2 min,Saw two disk shaped or circular objects with green lights on the outer edge in San Diego 11/17/20 on highway 163,12/23/2020
11/17/2020 18:05,San Diego,CA,Disk,2 min,Saw two disk shaped or circular objects with green lights on the outer edge in San Diego 11/17/20 on highway 163,12/23/2020
11/17/2020 18:00,Belmont,NC,Oval,5-7 minutes,static white opaque object with dark black center,12/23/2020
11/17/2020 17:20,Springfield,OH,,,MADAR Node 36,12/23/2020
11/17/2020 15:00,Woodstock,GA,Light,15 seconds,3 bright white flying objects in a clear blue sky,12/23/2020
11/17/2020 14:30,Lebec,CA,Light,ongoing,UFO over Lebec California,12/23/2020
11/17/2020 11:45,Wausau,WI,Light,,"Predominantly white flickering various colors with inconsistent movement, itâ€™s too stable on a windy night and too high to be a drone.",12/23/2020
11/17/2020 11:45,Wausau,WI,Light,,"Predominantly white flickering various colors with inconsistent movement, itâ€™s too stable on a windy night and too high to be a drone.",12/23/2020
11/17/2020 3:00,Colchester,VT,Light,1 hour,White orb of light hovering and moving,12/23/2020
11/17/2020 2:00,Orlando,FL,Light,1hour,"Glowing multiple lights, stationary, looking west, in Orlando",12/23/2020
11/16/2020 23:00,Portland,OR,,5 minutes,,12/23/2020
11/16/2020 22:00,New Britain,CT,Diamond,15 min,A group of round white balls like objects with mothership!,12/23/2020
11/16/2020 21:30,YUKON,OK,Rectangle,2 minutes,"Large, dark, silent object flies over town before turning and disappearing from view.",12/23/2020
11/16/2020 21:00,Forest Lake,MN,Diamond,15 seconds,We were headed northbound on 35E just after 9PM. We saw a triangular formation of Approximately 7 triangular gray objects flying at a h,12/23/2020
11/16/2020 21:00,Nevada,IA,Triangle,1 min,Triangular object floated smoothly and silently over my backyard. It came from the North and kept going South. It looked like a V-Forma,12/23/2020
11/16/2020 20:45,Meadville,PA,Formation,1/2 second,Blue UFOs Going way over light speed,12/23/2020
